141884V,1
S7211,4
143094V,1
143116T,1
143095A,1
140902T,1
143204,1
143038,1
143091A,1
143091V,1
143091C,1
140902A,1
140902G,1
140902V,1
140975T,2
140975L,1
140975A,1
140975G,1
140975V,1
140975E,1
141295,1
143115B,1
141719,2
143187S,1
143187V,1
143219V,1
143219A,1
143219P,1
140406,1
140313,1
140314,1
143217A,1
143217S,1
143217V,1
143147V,1
143147P,1
143147G,1
141825P,1
143027,1
143027V,1
143027A,1
141716,1
141306,1
141307,1
143218S,1
143218A,1
141019,1
141019B,1
141019A,1
141019V,2
141018A,1
141018V,1
141018G,1
141018B,1
141018,1
143176P,1
143176R,1
143176B,1
143176G,1
143176V,1
143176GG,1
143176C,1
143176L,1
143176Y,1
143176A,1
141742,2
141742L,1
141742Y,1
141742A,1
141742G,1
141742B,1
141742W,1
143186A,1
143186G,1
143186P,1
143186V,1
143192A,1
143192P,1
143192V,1
143143A,1
143143P,1
143143V,1
143093G,2
143093A,2
143133,1
143134,1
141890P,1
143035,1
143035P,1
143004C,1
143036,1
143004P,1
143166,1
143167,1
143215,1
143214,1
143186G,1
143224,1
141889,1
141869,1
143107P,1
143223,1
143199,1
143129,1
143092,1
143225,1
143107C,1
143023,1
141276A,1
141275M,1
143039A,1
143216,1
141887A,1
143144,1
143178,1
143002A,1
139394,1
138085,2
138086,2
138088,4
143126P,1
141891P,1
143211P,1
143062,1
143084,1
143060,1
143190,1
143106,1
143059,1
143075,1
140280,1
141745,1
143146,1
143026,1
141267,1
141899,1
140971,1
141900,1
143064,2
143117,1
143042,1
143228P,1
143228A,1
141816,1
141860,1
143099A,1
143172,1
143099,1
143099V,1
141867,1
143114,1
143113,1
141231,1
141277,1
141278,1
140970,1
140135,1
141737,1
141730,1
141228,1
141739,1
141289,1
140189,2
140190,2
141780,4
143165I,1
143165A,1
143181,1
139547A,4
141025,4
141713,1
141797,1
143179,4
140396,8
143019,4
140967,5
141832,11
143208A,1
143213A,1
143200A,1
143209A,1
143201A,1
141780D,1
141780B,1
141780C,1
137350K,1
139482P,1
139482H,1
143025,1
143024,2
140303,1
140304,1
140304A,1
140304B,1
140296,2
140899,2
137350A,3
137350B,1
137350R,1
137350L,1
137350P,1
141705,1
141707,1
143136,1
141780R,1
141833,1
141834,1
139482R,1
139482L,1
139482M,1
143191B,1
143158R,1
141876P,1
143164P,1
143235,1
143069B,1
143069R,1
143191R,1
143158B,1
143191K,1
143236,1
143222,1
143105,1
138849,1
140225A,2
140225B,1
140225D,1
140225E,1
141709,1
143148,1
143149,1
143230A,1
143230P,1
143230V,1
143121,1
143170V,1
143170G,1
143170L,1
143170P,1
143170A,1
143171A,1
143171P,1
143171G,1
143171V,1
143171L,1
140873V,1
140873S,1
140873A,1
140873P,1
143231,1
143076,1
143046,1
143016,1
140927,1
143239,1
143240,1
140926,1
141851V,1
141851S,1
141851,1
143194,1
143155,2
143195,1
140877,1
143128,1
139388,2
141772,1
143061P,1
141777,1
141776,1
140879,1
141773B,1
141773R,1
140117R,1
140117S,1
140117,1
141773P,1
141773V,1
140125V,1
140125A,1
140125R,1
140121,1
139522,7
140066,3
138319P,1
141873D,1
138319T,1
141309P,1
141309,1
139385T,1
139385P,1
138600,1
138321T,1
143206,2
143212,11
143007,1
141767C,1
143008,1
141859,2
141767P,1
143227A,1
143227P,1
143227V,1
139514,11
140056,4
140944,1
141264,1
143188,1
143127,1
141237,1
141264,1
143189,1
141263,1
141237,1
143131,1
140047,1
141708B,1
140943,1
140045,1
143198,1
137535,1
137263,1
141861,1
141808,1
141809,1
143197,1
141830,1
141829A,1
143005,1
143086,1
143104,1
143086P,1
143104P,1
143238,1
143237,1
143087,1
143088,1
143109,4
143110R,2
143110C,1
