141810,3
141810A,1
140964A,1
140402,1
140401,1
141796P,1
141796A,1
143137,1
143028,1
140963A,1
140963B,1
139735,1
143203A,1
143203V,1
143203C,1
143161,1
143203B,1
143132V,1
143132C,1
143234,1
143232,1
143233,1
139972,10
137959,7
143162,1
140153B,1
143159B,1
143159L,1
143159C,1
143159P,1
143159V,1
143159A,1
143077,1
141854P,1
143078,1
140151,1
141244P,1
143132P,1
143160,1
141854A,1
138499A,1
141244A,3
63992,1
139539,2
140161,3
140923,1
140252,2
143163M,1
138801,2
141878,1
138484,2
140946,2
141815B,1
138802,1
138797,1
137639,1
137643,1
141184,1
143153,1
236145,1
236154,1
236155,1
141316,2
141893,1
139406,2
141248,1
140168,1
138804,1
140169,1
143021V,1
143021P,1
143021A,1
143207A,1
143207V,1
143207P,1
141837,1
141837V,1
141837A,1
141837S,1
143210,1
141838S,1
141838,1
141838V,1
141838A,1
143020A,1
143020V,1
143020P,1
141257,1
141256,1
138180,2
140900,1
140966,1
140897,1
141175,1
143229A,1
143229P,1
143229V,1
143173,1
143174,1
143138P,1
143138A,1
143138S,1
143138V,1
143140A,1
143140P,1
143140S,1
143140V,1
143139A,1
143139P,1
143139S,1
141856,2
141746,1
141864A,1
141864V,1
141864,1
140895,1
141303,1
141253,1
141750P,1
141747,1
141778,1
143072,1
141015,1
140888,1
141886,1
143102,1
140922,1
140924,1
140919,1
143045,1
140887,1
141176,1
143119,1
143119S,1
141177,2
141823,1
140893,1
141001,1
141173,1
143205A,1
143205B,1
143205C,1
143066,1
143067,1
143175,1
140890,1
140907,1
140232,1
140231,1
139857,1
139855A,1
141193,1
140276,1
140274,1
140324,1
140275,1
140086,1
140088,1
140149,1
140087,1
140085,1
140241,1
140884,1
140288,1
140068,1
140070,1
140078,1
141836,1
143157,1
141774,1
140077,1
141764,1
139454A,1
143124,1
143013,1
143156,1
141771,1
141283,1
140310,1
143226P,1
143226A,1
143226V,1
143151P,1
143151A,1
143151V,1
143001A,1
143001P,1
143001V,1
143029,1
143130A,1
143130V,1
143130C,1
143085A,3
143085P,1
143085V,1
143182P,1
143182V,1
143182A,1
143123A,1
143123P,1
143030,1
143193,1
141229,1
139454,1
143220,1
143058,1
141284,1
143122,1
143152,1
143221,1
141235,1
143150,1
141268,1
BJ9090,4
BJ9094,2
BJ9086,2
BJ8064,3
BJ9110,1
BJ9111,1
BJ9112,1
BJ8018,3
BJ8019,5
BJ8011,1
BJ9072,2
BJ9109,1
137609,5
141821V,1
141821A,1
141821T,1
141884T,1
141884A,1
141884G,1
141883V,1
141883B,1
141883P,1
140976Y,1
143091T,1
