"138499P";"Bloco p/ anotacao"
"140918";"Calculadora"
"141742V";"Cantil 500 ml"
"141840";"Canivete Chaveiro"
"141892P";"Kit vinho"
"143106A";"Tampa pra garrafa"
"143118";"Porta copos quadrado"
"143196";"Kit manicure 12 pçs"
